Number,Name,ID
4210,AKR1,YDR264C
3333,PEX10,YDR265W
1397,HEL2,YDR266C
691,CIA1,YDR267C
1340,CCC2,YDR270W
911,GLO2,YDR272W
1502,DON1,YDR273W
1605,BSC2,YDR275W
3474,MTH1,YDR277C
3709,PHM6,YDR281C
83,GCN2,YDR283C
481,DPP1,YDR284C
3557,ZIP1,YDR285W
1162,NA,YDR286C
639,INM2,YDR287W
4091,NSE3,YDR288W
2964,RTT103,YDR289C
1225,HRQ1,YDR291W
878,SSD1,YDR293C
1480,HDA2,YDR295C
294,MHR1,YDR296W
19,SUR2,YDR297W
2995,PRO1,YDR300C
3674,CFT1,YDR301W
4266,GPI11,YDR302W
1685,CPR5,YDR304C
758,HNT2,YDR305C
1771,NA,YDR306C
144,PMT7,YDR307W
3163,SRB7,YDR308C
3711,SUM1,YDR310C
879,PIB1,YDR313C
3297,RAD34,YDR314C
3701,IPK1,YDR315C
3723,OMS1,YDR316W
1136,HIM1,YDR317W
439,MCM21,YDR318W
1736,DAD4,YDR320C-A
3194,ASP1,YDR321W
578,TIM11,YDR322C-A
1291,UTP4,YDR324C
4831,YCG1,YDR325W
1105,YSP2,YDR326C
3798,PEX3,YDR329C
1070,UBX5,YDR330W
56,GPI8,YDR331W
4375,IRC3,YDR332W
3441,RQC1,YDR333C
3581,SWR1,YDR334W
3840,MSN5,YDR335W
3034,NA,YDR338C
4063,FCF1,YDR339C
3343,HXT7,YDR342C
2819,HXT3,YDR345C
3561,SVF1,YDR346C
1587,PAL1,YDR348C
3114,ATP22,YDR350C
1656,SBE2,YDR351W
299,YPQ2,YDR352W
652,TRR1,YDR353W
3280,TRP4,YDR354W
1854,GGA1,YDR358W
3963,TFC6,YDR362C
1641,ESC2,YDR363W
1154,SEM1,YDR363W-A
4165,CDC40,YDR364C
1475,NA,YDR366C
750,YPR1,YDR368W
4090,XRS2,YDR369C
1568,DXO1,YDR370C
1265,CTS2,YDR371W
3291,FRQ1,YDR373W
4829,PHO92,YDR374C
559,ARH1,YDR376W
2904,ATP17,YDR377W
4,LSM6,YDR378C
3986,SDH6,YDR379C-A
570,RGA2,YDR379W
1488,NA,YDR381C-A
283,RPP2B,YDR382W
3406,EFT2,YDR385W
3730,MUS81,YDR386W
1450,NA,YDR387C
3061,RVS167,YDR388W
4355,SAC7,YDR389W
1001,NA,YDR391C
2878,SHE9,YDR393W
4197,NCB2,YDR397C
458,UTP5,YDR398W
3716,HPT1,YDR399W
1753,URH1,YDR400W
772,DIT1,YDR403W
4590,MRP20,YDR405W
1167,PDR15,YDR406W
2951,ADE8,YDR408C
4582,SIZ1,YDR409W
4117,STE14,YDR410C
3444,RRP17,YDR412W
223,ERD1,YDR414C
3773,SYF1,YDR416W
3943,HKR1,YDR420W
1687,ARO80,YDR421W
1016,SIP1,YDR422C
4088,CAD1,YDR423C
1081,DYN2,YDR424C
3324,SNX41,YDR425W
956,RPN9,YDR427W
1200,BNA7,YDR428C
1359,TIF35,YDR429C
582,CYM1,YDR430C
119,NPL3,YDR432W
27,GPI17,YDR434W
483,PPM1,YDR435C
4137,PPZ2,YDR436W
1347,GPI19,YDR437W
4062,THI74,YDR438W
3116,DOT1,YDR440W
1350,APT2,YDR441C
